time,demand,supply
1069,0.366,3.064
1070,0.371,3.687
1071,0.373,3.854
1072,0.402,3.756
1073,0.370,3.015
1074,0.351,1.162
1075,0.348,0.282
1076,0.372,-0.000
1077,0.356,-0.003
1078,0.358,-0.003
1079,0.368,-0.003
1080,0.364,-0.003
1081,0.327,-0.004
1082,0.327,-0.004
1083,0.342,-0.003
1084,0.395,-0.003
1085,0.378,-0.003
1086,0.338,-0.003
1087,0.343,-0.003
1088,0.371,-0.003
1089,0.342,0.025
1090,0.340,0.297
1091,0.345,0.362
1092,0.371,0.899
1093,0.353,0.845
1094,0.352,1.108
1095,0.355,0.413
1096,0.371,0.169
1097,0.359,0.302
1098,0.346,0.367
1099,0.340,0.099
1100,0.378,0.005
1101,0.350,-0.003
1102,0.348,-0.003
1103,0.363,-0.003
1104,0.351,-0.003
1105,0.336,-0.003
1106,0.335,-0.003
1107,0.345,-0.003
1108,0.347,-0.003
1109,0.325,-0.003
1110,0.326,-0.003
1111,0.352,-0.003
1112,0.467,-0.002
1113,0.358,-0.004
1114,0.348,0.012
1115,0.362,0.239
1116,0.355,0.454
1117,0.340,0.350
1118,0.341,0.582
1119,0.367,1.700
1120,0.362,1.699
1121,0.347,1.422
1122,0.340,0.590
1123,0.339,0.098
1124,0.366,-0.003
1125,0.348,-0.004
1126,0.344,-0.003
1127,0.347,-0.004
1128,0.329,-0.004
1129,0.319,-0.004
1130,0.320,-0.004
1131,0.321,-0.004
1132,0.322,-0.004
1133,0.331,-0.003
1134,0.310,-0.004
1135,0.318,-0.003
1136,0.336,-0.003
1137,0.307,0.072
1138,0.357,0.231
1139,0.343,0.463
1140,0.317,1.311
1141,0.347,1.262
1142,0.343,1.524
1143,0.419,2.850
1144,0.402,4.184
1145,0.357,3.923
1146,0.351,1.368
1147,0.340,0.125
1148,0.339,0.001
1149,0.349,-0.004
1150,0.348,-0.004
1151,0.329,-0.004
1152,0.333,-0.003
1153,0.329,-0.003
1154,0.307,-0.004
1155,0.438,-0.002
1156,0.349,-0.003
1157,0.307,-0.004
1158,0.309,-0.004
1159,0.317,-0.003
1160,0.309,-0.004
1161,0.349,0.055
1162,0.319,0.425
1163,0.346,1.554
1164,0.326,2.694
1165,0.364,3.555
1166,0.392,4.125
1167,0.344,4.361
1168,0.368,4.309
1169,0.365,3.930
1170,0.342,1.448
1171,0.344,0.094
1172,0.343,-0.000
1173,0.346,-0.004
1174,0.344,-0.004
1175,0.347,-0.003
1176,0.321,-0.004
1177,0.433,-0.003
1178,0.304,-0.004
1179,0.336,-0.004
1180,0.344,-0.003
1181,0.318,-0.004
1182,0.294,-0.004
1183,0.318,-0.003
1184,0.356,-0.003
1185,0.319,0.082
1186,0.333,0.511
1187,0.348,1.554
1188,0.332,2.708
1189,0.382,3.482
1190,0.374,3.824
1191,0.362,4.263
1192,0.344,4.255
1193,0.370,3.876
1194,0.373,1.492
1195,0.338,0.138
1196,0.341,0.004
1197,0.347,-0.003
1198,0.359,-0.003
1199,0.345,-0.003
1200,0.316,-0.004
1201,0.324,-0.004
1202,0.330,-0.004
1203,0.344,-0.003
1204,0.326,-0.004
1205,0.323,-0.004
1206,0.319,-0.003
1207,0.325,-0.003
1208,0.345,-0.003
1209,0.450,0.019
1210,0.341,0.154
1211,0.334,0.331
1212,0.361,0.432
1213,0.352,1.037
1214,0.347,1.396
1215,0.354,2.101
1216,0.364,2.440
1217,0.385,3.126
1218,0.354,1.371
1219,0.341,0.293
1220,0.343,0.003
1221,0.369,-0.003
1222,0.362,-0.003
1223,0.348,-0.003
1224,0.324,-0.003
1225,0.338,-0.003
1226,0.343,-0.003
1227,0.325,-0.004
1228,0.324,-0.003
1229,0.343,-0.003
1230,0.339,-0.003
1231,0.323,-0.003
1232,0.341,-0.003
1233,0.351,0.019
1234,0.366,0.371
1235,0.345,0.573
1236,0.353,1.273
1237,0.363,1.824
1238,0.477,1.567
1239,0.376,2.927
1240,0.359,2.213
1241,0.358,1.058
1242,0.378,1.191
1243,0.345,0.261
1244,0.361,-0.003
1245,0.375,-0.003
1246,0.381,-0.003
1247,0.350,-0.003
1248,0.326,-0.003
1249,0.345,-0.003
1250,0.341,-0.003
1251,0.334,-0.003
1252,0.334,-0.003
1253,0.349,-0.003
1254,0.343,-0.003
1255,0.323,-0.004
1256,0.342,-0.003
1257,0.356,-0.001
1258,0.350,0.058
1259,0.336,0.202
1260,0.338,0.225
1261,0.354,0.450
1262,0.363,0.407
1263,0.343,0.343
1264,0.340,0.172
1265,0.379,0.152
1266,0.416,0.052
1267,0.346,0.011
1268,0.352,-0.004
1269,0.353,-0.004
1270,0.369,-0.003
1271,0.351,-0.003
1272,0.322,-0.004
1273,0.322,-0.004
1274,0.336,-0.003
1275,0.340,-0.003
1276,0.307,-0.004
1277,0.306,-0.004
1278,0.318,-0.003
1279,0.334,-0.003
1280,0.349,-0.003
1281,0.318,-0.004
1282,0.321,0.014
1283,0.333,0.084
1284,0.343,0.203
1285,0.327,0.452
1286,0.339,0.559
1287,0.313,0.528
1288,0.350,0.438
1289,0.329,0.273
1290,0.335,0.136
1291,0.313,0.013
1292,0.328,-0.004
1293,0.339,-0.004
